"COUNTRY","Country","INDICATOR","Indicator","YEAR","Year","Value","Flag Codes","Flags"
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2000","2000",1.6058394160584,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2001","2001",1.6313868613139,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2002","2002",1.6313868613139,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2003","2003",1.6313868613139,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2004","2004",1.6313868613139,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2005","2005",1.543795620438,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2006","2006",1.543795620438,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2007","2007",1.543795620438,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2008","2008",1.543795620438,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2009","2009",1.543795620438,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2010","2010",1.456204379562,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2011","2011",1.456204379562,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2012","2012",1.456204379562,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2013","2013",1.2627737226277,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2014","2014",1.2627737226277,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2015","2015",1.3832116788321,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2016","2016",1.2189781021898,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2017","2017",1.2189781021898,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2018","2018",1.2189781021898,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2019","2019",0.61678832116788,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2020","2020",0.81751824817518,,
"ALB","Albania","IND-INFR-RAIL-DENS","Density of rail lines (km per one hundred sq. km)","2021","2021",0.81751824817518,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2004","2004",3.6496350364963,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2005","2005",3.6496350364963,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2006","2006",3.6496350364963,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2007","2007",3.6496350364963,,
"ALB","Albania","IND-INFR-AIR-DENS","Airports per one hundred thousand sq. km","2008","2008",3.6496350364963,,
