"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",70.86642,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",71.85328,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",73.78157,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",73.77186,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",74.51447,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",76.00729,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",77.42795,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",80.32355,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",82.84937,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",82.32095,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",85.86167,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",86.74606,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",90.12704,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",92.64716,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.60358,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.2292,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",103.6494,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",107.8284,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",110.2222,,
"PRINTO01","Production of total industry sa, Index","AUS","Australia","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",109.3738,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",98.49372,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",98.55775,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",103.1726,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",106.2267,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",106.6792,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",105.5942,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",106.1514,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",108.1794,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",111.583,,
"PRMNTO01","Production in total manufacturing sa, Index","AUS","Australia","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",103.4823,,
